category,url,title
International,http://www.thehindu.com/news/international/zimbabwes-mnangagwa-appoints-former-army-boss-as-party-vice-president/article22267339.ece,Zimbabwe’s Mnangagwa appoints former army boss as party vice president
International,http://www.thehindu.com/news/international/former-trump-campaign-manager-accused-of-sexual-harassment/article22267111.ece,Former Trump campaign manager accused of sexual harassment
International,http://www.thehindu.com/news/international/wild-truffle-grows-on-paris-rooftop-in-scientific-mystery/article22267227.ece,"Wild truffle grows on Paris rooftop, in scientific mystery"
National,http://www.thehindu.com/news/national/old-synagogue-comes-alive-in-jew-town/article22282333.ece,Old synagogue comes alive in Jew Town
International,http://www.thehindu.com/news/international/un-chief-urges-communication-with-nkorea-to-avoid-escalation/article21715681.ece,U.N. chief urges communication with N.Korea to avoid escalation
International,http://www.thehindu.com/news/international/un-appalled-at-30-year-sentence-for-woman-under-el-salvador-abortion-law/article21707721.ece,U.N. appalled at 30-year sentence for woman under El Salvador abortion law
International,http://www.thehindu.com/news/international/zimbabwe-ruling-party-meets-to-seal-mugabes-fall-from-grace/article21710268.ece,Zimbabwe ruling party meets to seal Mugabe’s fall from grace
International,http://www.thehindu.com/news/international/sri-lanka-urged-to-repeal-prevention-of-terror-act/article21716017.ece,Sri Lanka urged to repeal Prevention of Terror Act
International,http://www.thehindu.com/news/international/china-shrugs-off-hype-over-build-up/article21717456.ece,China shrugs off ‘hype’ over build-up
International,http://www.thehindu.com/news/international/suspected-islamist-militant-arrested-near-rohingya-camp/article22339333.ece,Suspected Islamist militant arrested near Rohingya camp
International,http://www.thehindu.com/news/international/we-expect-indian-aid-on-rohingya-issue/article21720743.ece,‘We expect Indian aid on Rohingya issue’
International,http://www.thehindu.com/news/international/pakistans-girl-cadets-dream-of-taking-charge/article22339335.ece,Pakistan’s girl cadets dream of taking charge
International,http://www.thehindu.com/news/international/south-korea-seizes-second-ship-suspected-of-providing-oil-to-north-korea/article22339305.ece,South Korea seizes second ship suspected of providing oil to North Korea
International,http://www.thehindu.com/news/international/colorado-deputy-sheriff-killed-during-domestic-disturbance-call/article22339681.ece,Colorado deputy sheriff killed during domestic disturbance call
National,http://www.thehindu.com/news/national/ruias-khaitans-too-acquitted/article22176380.ece,"Ruias, Khaitans too acquitted"
National,http://www.thehindu.com/news/national/indias-1st-pod-taxi-on-the-way-to-follow-us-safety-norms/article22282385.ece,"India’s 1st pod taxi on the way, to follow U.S. safety norms"
International,http://www.thehindu.com/news/international/australian-envoys-tip-off-triggered-fbi-russia-probe/article22339313.ece,‘Australian envoy’s tip-off triggered FBI Russia probe’
National,http://www.thehindu.com/news/national/2g-spectrum-scam-case-prosecution-lost-interest-midway-says-op-saini/article22179489.ece,"2G spectrum scam case: prosecution lost interest midway, says O.P. Saini"
National,http://www.thehindu.com/news/national/scattered-files-led-to-suspicion/article22178075.ece,‘Scattered files led to suspicion’
International,http://www.thehindu.com/news/international/january-1-marks-mass-birthday-in-afghanistan/article22339470.ece,January 1 marks mass birthday in Afghanistan
National,http://www.thehindu.com/news/national/ananth-kumar-hegde-deriding-constitution-cong/article22282395.ece,Ananth Kumar Hegde deriding Constitution: Congress
National,http://www.thehindu.com/news/national/court-criticises-role-of-prosecution-in-2g-case/article22178207.ece,Court criticises role of prosecution in 2G case
National,http://www.thehindu.com/news/national/shimla-to-see-a-grand-swearing-in/article22282392.ece,Shimla to see a grand swearing-in
National,http://www.thehindu.com/news/national/corruption-case-against-nbcc-chairman/article22267397.ece,Corruption case against NBCC chairman Anoop Kumar Mittal
National,http://www.thehindu.com/news/national/20th-round-of-india-china-border-talks-today/article22178787.ece,India-China border talks today
National,http://www.thehindu.com/news/national/ncw-member-criticises-bengal-police-over-birbhum-rape-case/article22267493.ece,NCW member criticises Bengal police over Birbhum rape case
National,http://www.thehindu.com/news/national/india-silent-ahead-of-crucial-un-vote-on-jerusalem/article22178567.ece,India silent ahead of crucial U.N. vote on Jerusalem
National,http://www.thehindu.com/news/national/if-bjp-had-a-film-franchise-it-would-be-lie-hard-rahul/article22267663.ece,If BJP had a film franchise it would be 'Lie Hard': Rahul Gandhi
International,http://www.thehindu.com/news/international/thousands-protest-pardoning-of-perus-former-president/article22279569.ece,Thousands protest pardoning of Peru's former president
International,http://www.thehindu.com/news/international/pakistan-afghanistan-appeal-to-taliban-to-join-peace-talks/article22280752.ece,"Pakistan, Afghanistan appeal to Taliban to join peace talks"
International,http://www.thehindu.com/news/international/kremlin-navalnys-calls-for-vote-boycott-might-be-illegal/article22280665.ece,Kremlin: Navalny’s calls for vote boycott might be illegal
National,http://www.thehindu.com/news/national/bengal-announces-compensation-for-bhangar-land-owners/article22334905.ece,Bengal announces compensation for Bhangar land owners
National,http://www.thehindu.com/news/national/cyberdome-surveillance-nabs-child-porn-group-admin/article22267743.ece,Kerala Police’s Cyberdome surveillance nabs child porn group admin
International,http://www.thehindu.com/news/international/saudi-arabia-hosts-world-chess-games-testing-reform-limits/article22281000.ece,"Saudi Arabia hosts world chess games, testing reform limits"
National,http://www.thehindu.com/news/national/cbi-moves-sc-against-discharge-of-kerala-chief-minister-in-lavalin-corruption-case/article22039482.ece,CBI moves SC against Pinarayi in Lavalin case
National,http://www.thehindu.com/news/national/aap-in-dilemma-over-rajya-sabha-nominations/article22334986.ece,AAP in dilemma over Rajya Sabha nominations
National,http://www.thehindu.com/news/national/lok-sabha-passes-immovable-property-amendment-bill/article22050965.ece,Lok Sabha passes Immovable Property (Amendment) Bill
National,http://www.thehindu.com/news/national/doctors-have-no-business-to-be-inhuman-ima/article22267546.ece,‘Doctors have no business to be inhuman’: IMA
International,http://www.thehindu.com/news/international/serbia-hands-over-asylum-seeker-sought-by-turkey/article22280875.ece,Serbia hands over asylum-seeker sought by Turkey
National,http://www.thehindu.com/news/national/mps-back-government-on-jadhav-kin-issue/article22320155.ece,MPs back government on Jadhav kin issue
National,http://www.thehindu.com/news/national/long-days-journey-into-night-for-truck-drivers/article22334899.ece,Long days journey into night for truck drivers
National,http://www.thehindu.com/news/national/endo-atmospheric-interceptor-missile-successfully-tested/article22320048.ece,Endo-atmospheric interceptor missile successfully tested
International,http://www.thehindu.com/news/international/korean-martial-art-hapkido-takes-baby-steps-in-india/article22328319.ece,Korean martial art hapkido takes baby steps in India
National,http://www.thehindu.com/news/national/separatists-never-face-ballot-jitendra-singh/article22335189.ece,Separatists never face ballot: Jitendra Singh
National,http://www.thehindu.com/news/national/cbi-examining-seized-laptops-of-traffickers/article22335041.ece,CBI examining seized laptops of traffickers
National,http://www.thehindu.com/news/national/lpg-price-hike-order-taken-back/article22320074.ece,LPG price hike order taken back
International,http://www.thehindu.com/news/international/indo-pacific-quad-may-soon-have-a-gaping-hole-as-china-re-engages-japan/article22357798.ece,Indo-Pacific quad may soon have a gaping hole as China re-engages Japan
International,http://www.thehindu.com/news/international/keep-calm-and-be-average-say-chinas-placid-millennials/article22328243.ece,"Keep calm and be average, say China’s placid millennials"
National,http://www.thehindu.com/news/national/bhangar-turns-violent-again-vehicles-torched-bombs-hurled/article22320136.ece,"Bhangar turns violent again, vehicles torched, bombs hurled"
International,http://www.thehindu.com/news/international/indian-student-shot-dead-by-armed-robbers-in-chicago/article22327439.ece,Indian student shot dead by armed robbers in Chicago
International,http://www.thehindu.com/news/international/north-korea-reopens-border-hotline-as-trump-boasts-of-bigger-nuclear-button/article22359207.ece,North Korea reopens border hotline as Trump boasts of “bigger” nuclear button
International,http://www.thehindu.com/news/international/ruling-by-south-africas-top-court-heaps-more-pressure-on-embattled-zuma/article22328336.ece,Ruling by South Africa's top court heaps more pressure on embattled Zuma
International,http://www.thehindu.com/news/international/taiwan-president-warns-china-against-military-aggression/article22328419.ece,Taiwan president warns China against military aggression
National,http://www.thehindu.com/news/national/bjp-mp-nepal-singh-apologises-for-remark-on-soldiers-dying-during-combat/article22351809.ece,BJP MP Nepal Singh apologises for remark on soldiers dying during combat
International,http://www.thehindu.com/news/international/trump-says-us-east-coast-could-use-some-global-warming-this-weekend/article22328370.ece,Trump says US’ east coast could use some 'global warming' this weekend
National,http://www.thehindu.com/news/national/bjp-accuses-mamata-banerjee-of-practising-soft-hindutva/article22359112.ece,BJP accuses Mamata Banerjee of practising soft Hindutva
National,http://www.thehindu.com/news/national/no-evidence-of-any-death-due-to-blue-whale-challenge-game-govt/article22359294.ece,No evidence of any death due to Blue Whale challenge game: Govt.
National,http://www.thehindu.com/news/national/rajya-sabha-creates-record-completes-entire-zero-hour-agenda/article22351848.ece,"Rajya Sabha creates record, completes entire Zero Hour agenda"
National,http://www.thehindu.com/news/national/opposition-pushes-to-send-triple-talaq-to-select-committee/article22351752.ece,Opposition parties for sending triple talaq Bill to select panel
National,http://www.thehindu.com/news/national/nmc-bill-sent-to-standing-committee/article22351803.ece,National Medical Commission Bill sent to Standing Committee
National,http://www.thehindu.com/news/national/my-book-being-put-in-jail-rushdie/article6821128.ece,'My book being put in jail': Rushdie
International,http://www.thehindu.com/news/international/defiant-hun-sen-tells-us-to-cut-all-aid-to-cambodia/article20555173.ece,Defiant Hun Sen tells U.S. to cut all aid to Cambodia
International,http://www.thehindu.com/news/international/more-than-30-rescued-in-afghan-raid-on-taliban-prison/article20555234.ece,More than 30 rescued in Afghan raid on Taliban prison
International,http://www.thehindu.com/news/international/19-killed-eight-injured-in-a-house-fire-in-china/article20555228.ece,"19 killed, eight injured in a house fire in China"
National,http://www.thehindu.com/news/national/gram-panchayat-certificate-no-proof-of-citizenship-sc/article20670242.ece,Gram panchayat certificate no proof of citizenship: SC
National,http://www.thehindu.com/news/national/rigid-alliances-will-be-avoided-india/article20604985.ece,Rigid alliances will be avoided: India
International,http://www.thehindu.com/news/international/oxford-and-cambridge-club-hit-by-online-data-breach/article20944258.ece,Oxford and Cambridge Club hit by online data breach
International,http://www.thehindu.com/news/international/rose-suspended-over-sexual-abuse-claims/article20626571.ece,Rose suspended over sexual abuse claims
National,http://www.thehindu.com/news/national/supreme-court-to-hear-fresh-plea-to-stall-release-of-padmavati-outside-india/article20676635.ece,Supreme Court to hear plea against release of ‘Padmavati’ outside India
National,http://www.thehindu.com/news/national/bengaluru-temple-goes-green-makes-holy-compost/article21039509.ece,"Bengaluru temple goes green, makes ‘holy’ compost"
National,http://www.thehindu.com/news/national/india-can-grow-by-over-150-bn-if-labour-gender-gap-closed-ivanka-trump/article21039761.ece,India can grow by over $150 bn if labour gender gap closed: Ivanka Trump
National,http://www.thehindu.com/news/national/jay-shah-case-hc-rejects-plea-against-gag-order/article21039460.ece,Jay Shah case: High Court rejects plea against trial court's gag order
National,http://www.thehindu.com/news/national/message-of-gita-relevant-for-all-times-kovind/article20929296.ece,Message of Gita relevant for all times: Kovind
International,http://www.thehindu.com/news/international/einsteins-letter-on-relativity-sold-for-106250/article21290195.ece,"Einstein’s 1915 letter on relativity sold for $1,06,250"
International,http://www.thehindu.com/news/international/no-evidence-to-support-case-of-fraud-against-mallya-says-defence-in-uk-court/article21267916.ece,"No evidence to support case of fraud against Mallya, says defence in U.K. court"
International,http://www.thehindu.com/news/international/taliban-kill-3-afghan-soldiers-in-attack-on-checkpoint/article21378903.ece,Taliban kill 3 Afghan soldiers in attack on checkpoint
International,http://www.thehindu.com/news/international/austrian-constitutional-court-legalises-same-sex-marriage/article21266836.ece,Austrian constitutional court legalises same-sex marriage
International,http://www.thehindu.com/news/international/us-to-adopt-new-four-level-travel-advisory-system/article21379181.ece,U.S. to adopt new four-level travel advisory system
International,http://www.thehindu.com/news/international/israeli-retaliation-strikes-kill-two-palestinian-gunmen-in-gaza/article21379215.ece,Israeli retaliation strikes kill two Palestinian gunmen in Gaza
International,http://www.thehindu.com/news/international/iraq-is-totally-liberated-from-islamic-state-iraqi-armed-forces/article21380092.ece,Iraq is “totally liberated” from IS: armed forces
International,http://www.thehindu.com/news/international/nepal-polls-left-alliance-wins-26-seats-nepali-cong-3/article21378869.ece,"Left alliance wins 27 seats, Nepali Congress 5 in Nepal polls"
